Clause,Raw_Score
1,0
2,3
3,2
4,-3
5,-4
6,-1
7,-4
8,2
9,1
10,3
11,3
12,3
13,1
14,-5
15,-4
16,2
17,0
18,1
19,0
20,0
21,1
22,-2
23,-1
24,0
25,1
26,-3
27,-1
28,-2
29,-4
30,-3
31,-2
32,-3
33,-2
34,-3
35,-3
36,-2
37,-2
38,-3
39,-2
40,-3
41,-2
42,-2
43,-4
44,-3
45,-3
46,-3
47,-3
48,-3
49,-2
50,-2
51,-2
52,2
53,3
54,2
55,1
56,-1
57,-2
58,-2
59,0
60,-1
61,0
62,-3
63,-2
64,-2
65,-3
66,-2
67,-2
68,-3
69,-3
70,-2
71,-1
72,-2
73,-2
74,-3
75,-1
76,-2
77,-2
78,-3
79,-1
80,-3
81,-3
82,-3
83,-2
84,-3
85,-1
86,0
87,3
88,2
89,2
90,4
91,3
92,2
93,3
94,3
95,3
96,4
97,4
98,3
99,1
100,0
101,1
102,1
103,0
104,2
105,-1
106,2
107,0
108,0
109,-3
110,-2
111,-1
112,-2
113,-1
114,0
115,1
116,0
117,-2
118,-3
119,-2
120,-1
121,-2
122,-3
123,-2
124,-3
125,-2
126,3
127,2
128,4
129,3
130,2
131,3
132,3
133,3
134,4
135,1
136,2
137,3
138,4
139,4
140,3
141,4
142,4
143,3
144,2
145,1
146,3
147,4
148,4
149,3
150,4
151,3
152,2
153,3
154,3
155,2
156,1
157,0
158,0
159,-1
160,-2
161,-1
162,-2
163,-2
164,-3
165,-2
166,-3
167,-2
168,-1
169,-2
170,-3
171,-2
172,-3
173,-2
174,-2
175,-1
176,3
177,2
178,4
179,3
180,2
181,3
182,3
183,4
184,5
185,5
186,4
187,5
188,5
189,4
190,3
191,4
192,4
193,3
194,2
195,3
196,4
197,5
198,5
199,4
200,3
201,3
202,2
203,1
204,0
205,-2
206,-3
207,-2
208,-1
209,1
210,2
211,1
212,0
213,-1
214,-2
215,-1
216,2
217,3
218,2
219,1
220,0
221,-1
222,-2
223,-1
224,0
225,1
226,2
227,1
228,0
229,-1
230,-2
231,-2
232,-3
233,-3
234,-4
235,-3
236,-4
237,-3
238,-2
239,-1
240,0
241,1
242,-2
243,-4
244,-3
245,-2
246,-2
247,-3
248,-3
249,-4
250,-4
251,-4
252,-3
253,-2
254,-1
255,0
256,1
257,-2
258,-4
259,-3
260,-2
261,-1
262,0
263,1
264,2
265,3
266,2
267,3
268,4
269,5
270,5
271,4
272,5
273,4
274,3
275,5
